Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Cabins_booked,Embarked_in_Cherbourg,Embarked_in_Queenstown,Embarked_in_Southampton,Embarked_in_Unknown,Sex_female,Sex_male,Age_Group_Child,Age_Group_Young Adult,Age_Group_Adult,Age_Group_Senior,Fare_Group_Low,Fare_Group_Mediun,Fare_Group_High,Fare_Group_Very High,Age_Class,Fare_per_person
1,3,15.0,0,0,8.0292,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,45.0,8.0292
1,1,28.0,0,0,35.5,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,28.0,35.5
0,3,8.0,3,1,21.075,5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,24.0,4.215
1,3,38.0,1,5,31.3875,7,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,114.0,4.483928571428572
0,3,29.69911764705882,0,0,7.225,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.225
0,1,19.0,3,2,263.0,6,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,19.0,43.833333333333336
1,3,29.69911764705882,0,0,7.8792,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.8792
0,3,29.69911764705882,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.8958
0,1,40.0,0,0,27.7208,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,40.0,27.7208
1,1,29.69911764705882,1,0,146.5208,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,29.69911764705882,73.2604
1,3,29.69911764705882,0,0,7.75,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.75
0,2,66.0,0,0,10.5,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,132.0,10.5
0,1,28.0,1,0,82.1708,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,28.0,41.0854
0,1,42.0,1,0,52.0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,42.0,26.0
1,3,29.69911764705882,0,0,7.2292,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.2292
0,3,21.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,63.0,8.05
0,3,18.0,2,0,18.0,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,54.0,6.0
1,3,14.0,1,0,11.2417,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,42.0,5.62085
0,3,40.0,1,0,9.475,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,120.0,4.7375
0,2,27.0,1,0,21.0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,54.0,10.5
0,3,29.69911764705882,0,0,7.8958,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.8958
1,2,3.0,1,2,41.5792,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,6.0,10.3948
1,3,19.0,0,0,7.8792,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,57.0,7.8792
0,3,29.69911764705882,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.05
0,3,29.69911764705882,1,0,15.5,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.75
1,3,29.69911764705882,0,0,7.75,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.75
0,3,29.69911764705882,2,0,21.6792,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,89.09735294117647,7.226400000000001
0,3,18.0,1,0,17.8,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,54.0,8.9
0,3,7.0,4,1,39.6875,6,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,21.0,6.614583333333333
0,3,21.0,0,0,7.8,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,63.0,7.8
1,1,49.0,1,0,76.7292,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,49.0,38.3646
1,2,29.0,1,0,26.0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,58.0,13.0
0,1,65.0,0,1,61.9792,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,65.0,30.9896
1,1,29.69911764705882,0,0,35.5,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,29.69911764705882,35.5
1,2,21.0,0,0,10.5,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,42.0,10.5
0,3,28.5,0,0,7.2292,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,85.5,7.2292
1,2,5.0,1,2,27.75,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,10.0,6.9375
0,3,11.0,5,2,46.9,8,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,33.0,5.8625
0,3,22.0,0,0,7.2292,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,66.0,7.2292
1,1,38.0,0,0,80.0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,38.0,80.0
0,1,45.0,1,0,83.475,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,45.0,41.7375
0,3,4.0,3,2,27.9,6,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,12.0,4.6499999999999995
0,1,29.69911764705882,0,0,27.7208,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,29.69911764705882,27.7208
1,3,29.69911764705882,1,1,15.2458,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,5.081933333333333
1,2,29.0,0,0,10.5,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,58.0,10.5
0,3,19.0,0,0,8.1583,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,57.0,8.1583
1,3,17.0,4,2,7.925,7,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,51.0,1.1321428571428571
0,3,26.0,2,0,8.6625,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,78.0,2.8874999999999997
0,2,32.0,0,0,10.5,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,64.0,10.5
0,3,16.0,5,2,46.9,8,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,48.0,5.8625
0,2,21.0,0,0,73.5,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,42.0,73.5
0,3,26.0,1,0,14.4542,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,78.0,7.2271
1,3,32.0,0,0,56.4958,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,96.0,56.4958
0,3,25.0,0,0,7.65,1,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,75.0,7.65
0,3,29.69911764705882,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.8958
0,3,29.69911764705882,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.05
1,2,0.83,0,2,29.0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.66,9.666666666666666
1,3,30.0,0,0,12.475,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,90.0,12.475
0,3,22.0,0,0,9.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,66.0,9.0
1,3,29.0,0,0,9.5,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,87.0,9.5
1,3,29.69911764705882,0,0,7.7875,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.7875
0,1,28.0,0,0,47.1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,28.0,47.1
1,2,17.0,0,0,10.5,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,34.0,10.5
1,3,33.0,3,0,15.85,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,99.0,3.9625
0,3,16.0,1,3,34.375,5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,48.0,6.875
0,3,29.69911764705882,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.05
1,1,23.0,3,2,263.0,6,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,23.0,43.833333333333336
0,3,24.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,72.0,8.05
0,3,29.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,87.0,8.05
0,3,20.0,0,0,7.8542,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,60.0,7.8542
0,1,46.0,1,0,61.175,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,46.0,30.5875
0,3,26.0,1,2,20.575,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,78.0,5.14375
0,3,59.0,0,0,7.25,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,177.0,7.25
0,3,29.69911764705882,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.05
0,1,71.0,0,0,34.6542,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,71.0,34.6542
1,1,23.0,0,1,63.3583,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,31.67915
1,2,34.0,0,1,23.0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,68.0,11.5
0,2,34.0,1,0,26.0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,68.0,13.0
0,3,28.0,0,0,7.8958,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,84.0,7.8958
0,3,29.69911764705882,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.8958
0,1,21.0,0,1,77.2875,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,21.0,38.64375
0,3,33.0,0,0,8.6542,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,99.0,8.6542
0,3,37.0,2,0,7.925,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,111.0,2.6416666666666666
0,3,28.0,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,84.0,7.8958
1,3,21.0,0,0,7.65,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,63.0,7.65
1,3,29.69911764705882,0,0,7.775,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.775
0,3,38.0,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,114.0,7.8958
1,3,29.69911764705882,1,0,24.15,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,89.09735294117647,12.075
0,1,47.0,0,0,52.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,47.0,52.0
0,3,14.5,1,0,14.4542,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,43.5,7.2271
0,3,22.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,66.0,8.05
0,3,20.0,1,0,9.825,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,60.0,4.9125
0,3,17.0,0,0,14.4583,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,51.0,14.4583
0,3,21.0,0,0,7.925,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,63.0,7.925
0,3,70.5,0,0,7.75,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,211.5,7.75
0,2,29.0,1,0,21.0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,58.0,10.5
0,1,24.0,0,1,247.5208,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,24.0,123.7604
0,3,2.0,4,2,31.275,7,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,6.0,4.4678571428571425
0,2,21.0,2,0,73.5,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,42.0,24.5
0,3,29.69911764705882,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.05
0,2,32.5,1,0,30.0708,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,65.0,15.0354
1,2,32.5,0,0,13.0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,65.0,13.0
0,1,54.0,0,1,77.2875,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,54.0,38.64375
1,3,12.0,1,0,11.2417,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,36.0,5.62085
0,3,29.69911764705882,0,0,7.75,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.75
1,3,24.0,0,0,7.1417,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,72.0,7.1417
1,3,29.69911764705882,1,1,22.3583,3,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,89.09735294117647,7.452766666666666
0,3,45.0,0,0,6.975,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,135.0,6.975
0,3,33.0,0,0,7.8958,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,99.0,7.8958
0,3,20.0,0,0,7.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,60.0,7.05
0,3,47.0,1,0,14.5,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,141.0,7.25
1,2,29.0,1,0,26.0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,58.0,13.0
0,2,25.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,50.0,13.0
0,2,23.0,0,0,15.0458,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,46.0,15.0458
1,1,19.0,0,2,26.2833,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,19.0,8.7611
0,1,37.0,1,0,53.1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,37.0,26.55
0,3,16.0,0,0,9.2167,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,48.0,9.2167
0,1,24.0,0,0,79.2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,24.0,79.2
0,3,29.69911764705882,0,2,15.2458,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,5.081933333333333
1,3,22.0,0,0,7.75,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,66.0,7.75
1,3,24.0,1,0,15.85,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,72.0,7.925
0,3,19.0,0,0,6.75,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,57.0,6.75
0,2,18.0,0,0,11.5,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,36.0,11.5
0,2,19.0,1,1,36.75,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,38.0,12.25
1,3,27.0,0,0,7.7958,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,81.0,7.7958
0,3,9.0,2,2,34.375,5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,27.0,6.875
0,2,36.5,0,2,26.0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,73.0,8.666666666666666
0,2,42.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,84.0,13.0
0,2,51.0,0,0,12.525,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,102.0,12.525
1,1,22.0,1,0,66.6,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,22.0,33.3
0,3,55.5,0,0,8.05,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,166.5,8.05
0,3,40.5,0,2,14.5,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,121.5,4.833333333333333
0,3,29.69911764705882,0,0,7.3125,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.3125
0,1,51.0,0,1,61.3792,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,51.0,30.6896
1,3,16.0,0,0,7.7333,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,48.0,7.7333
0,3,30.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,90.0,8.05
0,3,29.69911764705882,0,0,8.6625,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.6625
0,3,29.69911764705882,8,2,69.55,11,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,89.09735294117647,6.322727272727272
0,3,44.0,0,1,16.1,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,132.0,8.05
1,2,40.0,0,0,15.75,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,80.0,15.75
0,3,26.0,0,0,7.775,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,78.0,7.775
0,3,17.0,0,0,8.6625,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,51.0,8.6625
0,3,1.0,4,1,39.6875,6,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,3.0,6.614583333333333
1,3,9.0,0,2,20.525,3,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,27.0,6.841666666666666
1,1,29.69911764705882,0,1,55.0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,29.69911764705882,27.5
0,3,45.0,1,4,27.9,6,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,135.0,4.6499999999999995
0,1,29.69911764705882,0,0,25.925,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,29.69911764705882,25.925
0,3,28.0,0,0,56.4958,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,84.0,56.4958
0,1,61.0,0,0,33.5,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,61.0,33.5
0,3,4.0,4,1,29.125,6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,12.0,4.854166666666667
1,3,1.0,1,1,11.1333,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3.0,3.7111
0,3,21.0,0,0,7.925,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,63.0,7.925
0,1,56.0,0,0,30.6958,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,56.0,30.6958
0,3,18.0,1,1,7.8542,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,54.0,2.6180666666666665
0,3,29.69911764705882,3,1,25.4667,5,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,89.09735294117647,5.0933399999999995
0,1,50.0,0,0,28.7125,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,50.0,28.7125
0,2,30.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,60.0,13.0
0,3,36.0,0,0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,108.0,0.0
0,3,29.69911764705882,8,2,69.55,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,89.09735294117647,6.322727272727272
0,2,29.69911764705882,0,0,15.05,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,59.39823529411764,15.05
0,3,9.0,4,2,31.3875,7,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,27.0,4.483928571428572
1,2,1.0,2,1,39.0,4,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2.0,9.75
1,3,4.0,0,2,22.025,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,12.0,7.341666666666666
0,1,29.69911764705882,0,0,50.0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,29.69911764705882,50.0
1,3,29.69911764705882,1,0,15.5,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.75
1,1,45.0,0,0,26.55,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,45.0,26.55
0,3,40.0,1,1,15.5,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,120.0,5.166666666666667
0,3,36.0,0,0,7.8958,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,108.0,7.8958
1,2,32.0,0,0,13.0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,64.0,13.0
0,2,19.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,38.0,13.0
1,3,19.0,1,0,7.8542,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,57.0,3.9271
1,2,3.0,1,1,26.0,3,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,6.0,8.666666666666666
1,1,44.0,0,0,27.7208,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,44.0,27.7208
1,1,58.0,0,0,146.5208,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,58.0,146.5208
0,3,29.69911764705882,0,0,7.75,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,7.75
0,3,42.0,0,1,8.4042,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,126.0,4.2021
1,3,29.69911764705882,0,0,7.75,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.75
0,2,24.0,0,0,13.0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,48.0,13.0
0,3,28.0,0,0,9.5,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,84.0,9.5
0,3,29.69911764705882,8,2,69.55,11,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,89.09735294117647,6.322727272727272
0,3,34.0,0,0,6.4958,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,102.0,6.4958
0,3,45.5,0,0,7.225,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,136.5,7.225
1,3,18.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,54.0,8.05
0,3,2.0,0,1,10.4625,2,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,6.0,5.23125
0,3,32.0,1,0,15.85,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,96.0,7.925
1,3,26.0,0,0,18.7875,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,78.0,18.7875
1,3,16.0,0,0,7.75,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,48.0,7.75
1,1,40.0,0,0,31.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,40.0,31.0
0,3,24.0,0,0,7.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,72.0,7.05
1,2,35.0,0,0,21.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,70.0,21.0
0,3,22.0,0,0,7.25,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,66.0,7.25
0,2,30.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,60.0,13.0
0,3,29.69911764705882,1,0,7.75,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,3.875
1,1,31.0,1,0,113.275,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,31.0,56.6375
1,3,27.0,0,0,7.925,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,81.0,7.925
0,2,42.0,1,0,27.0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,84.0,13.5
1,1,32.0,0,0,76.2917,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,32.0,76.2917
0,2,30.0,0,0,10.5,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,60.0,10.5
1,3,16.0,0,0,8.05,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,48.0,8.05
0,2,27.0,0,0,13.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,54.0,13.0
0,3,51.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,153.0,8.05
